id,details,time,time_request,score,preference,time2_request,time2,avg_match_score
lkieff455,,20,24.08,3.9130000000000003,3,12.61,25,4.1
lkieff455,,20,13.23,7.353999999999999,3,10.43,25,1.76
lkieff455,,20,16.04,4.2059999999999995,5,19.1,25,1.24
lkieff455,,20,22.96,5.2620000000000005,5,8.52,25,1.03
lkieff455,,20,6.01,11.374999999999998,1,4.04,25,3.45
lkieff455,,20,11.88,6.895,1,13.05,25,3.37
lkieff455,,20,13.9,4.031000000000001,3,22.45,25,4.18
lkieff455,,20,12.77,2.425,3,27.32,25,1.76
lkieff455,,20,7.89,7.446,5,17.63,25,3.01
lkieff455,,20,7.81,9.367999999999999,1,9.77,25,4.71
lkieff455,,20,0.54,8.627999999999998,5,19.92,25,1.33
lkieff455,,20,8.4,3.8080000000000003,1,26.98,25,3.61
lkieff455,,20,14.65,6.55,5,12.69,25,1.26
lkieff455,,20,4.31,4.655,3,29.38,25,3.31
lkieff455,,20,6.16,4.47,5,29.78,25,3.76
lkieff455,,20,4.57,6.176,1,23.31,25,4.2
lkieff455,,20,13.39,10.303999999999998,5,1.73,25,1.7
lkieff455,,20,17.85,1.376,5,27.95,25,3.08
lkieff455,,20,15.58,3.684,1,19.66,25,2.78
lkieff455,,20,19.52,-0.0779999999999994,1,28.54,25,3.2
lkieff455,,20,25.51,5.244000000000001,1,5.97,25,4.94
lkieff455,,20,26.05,3.8079999999999994,5,10.81,25,1.83
lkieff455,,20,5.19,8.434,1,13.25,25,1.33
lkieff455,,20,1.49,13.589999999999998,5,2.37,25,1.24
lkieff455,,20,8.24,6.473000000000001,1,18.47,25,3.93
lkieff455,,20,5.74,7.4399999999999995,5,18.9,25,1.66
lkieff455,,20,15.23,4.029999999999999,5,20.43,25,1.14
lkieff455,,20,1.94,8.929999999999998,1,15.82,25,2.79
lkieff455,,20,25.09,6.641,5,2.58,25,2.21
lkieff455,,20,8.62,10.213000000000001,3,5.39,25,1.58
lkieff455,,20,9.53,4.637,5,24.48,25,1.7
lkieff455,,20,2.53,9.478,1,12.93,25,2.08
lkieff455,,20,7.38,6.043,5,22.23,25,2.13
lkieff455,,20,10.22,4.21,1,22.64,25,1.84
lkieff455,,20,8.1,6.079,5,20.69,25,1.08
lkieff455,,20,19.22,0.756,3,27.42,25,3.24
lkieff455,,20,6.96,11.542,5,5.62,25,4.08
lkieff455,,20,22.13,5.379,5,10.9,25,3.94
lkieff455,,20,28.56,3.6,5,10.82,25,4.57
lkieff455,,20,18.8,0.7810000000000002,3,28.13,25,3.8
lkieff455,,20,7.85,5.481,1,22.66,25,4.67
gstefanick966,,30,24.87,1.4529999999999994,1,18.6,15,3.97
gstefanick966,,30,3.71,9.882,2,12.75,15,4.6
gstefanick966,,30,29.34,1.403,2,13.57,15,1.88
gstefanick966,,30,16.09,8.106000000000002,1,4.31,15,2.63
gstefanick966,,30,28.38,4.736000000000001,4,5.06,15,2.34
gstefanick966,,30,19.72,2.164,4,21.5,15,1.15
gstefanick966,,30,19.05,0.5889999999999996,2,27.82,15,3.75
gstefanick966,,30,29.89,2.0309999999999997,4,11.76,15,1.13
gstefanick966,,30,17.71,4.241,1,15.1,15,1.92
gstefanick966,,30,24.08,4.2890000000000015,4,12.61,15,4.98
gstefanick966,,30,13.23,7.809999999999999,4,10.43,15,3.04
gstefanick966,,30,16.04,4.318,2,19.1,15,4.8
gstefanick966,,30,22.96,5.021999999999999,2,8.52,15,2.83
gstefanick966,,30,6.01,11.618999999999998,1,4.04,15,4.67
gstefanick966,,30,11.88,6.748999999999999,1,13.05,15,2.64
gstefanick966,,30,13.9,4.155,4,22.45,15,3.8
gstefanick966,,30,12.77,2.627,4,27.32,15,1.77
gstefanick966,,30,7.89,6.526000000000001,1,17.63,15,2.41
gstefanick966,,30,7.81,8.758000000000001,1,9.77,15,1.66
gstefanick966,,30,0.54,8.265999999999998,2,19.92,15,2.52
gstefanick966,,30,8.4,3.4820000000000007,1,26.98,15,1.98
gstefanick966,,30,14.65,6.5120000000000005,2,12.69,15,4.07
gstefanick966,,30,4.31,5.091000000000001,4,29.38,15,4.49
gstefanick966,,30,6.16,3.826,1,29.78,15,4.54
gstefanick966,,30,4.57,6.098000000000001,1,23.31,15,3.81
gstefanick966,,30,13.39,9.85,2,1.73,15,2.43
gstefanick966,,30,17.85,0.6519999999999999,1,27.95,15,3.46
gstefanick966,,30,15.58,3.588,1,19.66,15,2.3
gstefanick966,,30,19.52,-0.4199999999999993,1,28.54,15,1.49
gstefanick966,,30,25.51,4.843999999999999,1,5.97,15,2.94
gstefanick966,,30,26.05,3.0,1,10.81,15,1.79
gstefanick966,,30,5.19,9.094,1,13.25,15,4.63
gstefanick966,,30,1.49,13.224,2,2.37,15,2.41
gstefanick966,,30,8.24,6.463,1,18.47,15,3.88
gstefanick966,,30,5.74,7.119999999999999,1,18.9,15,4.06
gstefanick966,,30,15.23,3.5980000000000008,1,20.43,15,2.98
gstefanick966,,30,1.94,9.121999999999998,1,15.82,15,3.75
gstefanick966,,30,25.09,6.081,2,2.58,15,2.41
gstefanick966,,30,8.62,10.833000000000002,4,5.39,15,3.68
gstefanick966,,30,9.53,4.358999999999999,2,24.48,15,3.31
gstefanick966,,30,2.53,9.376,1,12.93,15,1.57
gstefanick966,,30,7.38,5.815000000000001,2,22.23,15,3.99
gstefanick966,,30,10.22,4.208,1,22.64,15,1.83
gstefanick966,,30,8.1,5.717,2,20.69,15,2.27
gstefanick966,,30,19.22,1.1360000000000001,4,27.42,15,4.14
gstefanick966,,30,6.96,10.354,2,5.62,15,1.14
gstefanick966,,30,22.13,4.2490000000000006,2,10.9,15,1.29
gstefanick966,,30,28.56,2.382,2,10.82,15,1.48
gstefanick966,,30,18.8,0.8270000000000003,4,28.13,15,3.03
gstefanick966,,30,7.85,4.785,1,22.66,15,1.19
rhaptonsta738,,10,24.87,-7.041,3,18.6,5,4.5
rhaptonsta738,,10,3.71,0.44400000000000034,3,12.75,5,1.41
rhaptonsta738,,10,29.34,-7.452999999999999,3,13.57,5,1.6
rhaptonsta738,,10,16.09,-0.051999999999999824,3,4.31,5,4.84
rhaptonsta738,,10,28.38,-3.6719999999999993,5,5.06,5,4.3
rhaptonsta738,,10,19.72,-6.276,5,21.5,5,2.95
rhaptonsta738,,10,19.05,-8.549,3,27.82,5,2.06
rhaptonsta738,,10,29.89,-6.006999999999999,5,11.76,5,4.94
rhaptonsta738,,10,17.71,-4.135,2,15.1,5,4.04
rhaptonsta738,,10,24.08,-4.853,5,12.61,5,3.27
rhaptonsta738,,10,13.23,-1.2079999999999997,5,10.43,5,1.95
rhaptonsta738,,10,16.04,-4.45,3,19.1,5,4.96
rhaptonsta738,,10,22.96,-3.7259999999999995,3,8.52,5,3.09
rhaptonsta738,,10,6.01,2.6630000000000003,2,4.04,5,3.89
rhaptonsta738,,10,11.88,-1.839,2,13.05,5,3.7
rhaptonsta738,,10,13.9,-4.709,5,22.45,5,3.48
rhaptonsta738,,10,12.77,-5.716999999999999,5,27.32,5,4.05
rhaptonsta738,,10,7.89,-1.9839999999999995,3,17.63,5,2.86
rhaptonsta738,,10,7.81,0.22600000000000042,2,9.77,5,3.0
rhaptonsta738,,10,0.54,-0.2759999999999998,3,19.92,5,3.81
rhaptonsta738,,10,8.4,-5.144,2,26.98,5,2.85
rhaptonsta738,,10,14.65,-2.876,3,12.69,5,1.13
rhaptonsta738,,10,4.31,-3.8289999999999993,5,29.38,5,3.89
rhaptonsta738,,10,6.16,-5.140000000000001,3,29.78,5,2.71
rhaptonsta738,,10,4.57,-3.06,2,23.31,5,2.02
rhaptonsta738,,10,13.39,1.528,3,1.73,5,4.82
rhaptonsta738,,10,17.85,-8.22,3,27.95,5,2.1
rhaptonsta738,,10,15.58,-5.079999999999999,2,19.66,5,2.96
rhaptonsta738,,10,19.52,-8.653999999999998,2,28.54,5,4.32
rhaptonsta738,,10,25.51,-3.5820000000000007,2,5.97,5,4.81
rhaptonsta738,,10,26.05,-5.736,3,10.81,5,1.11
rhaptonsta738,,10,5.19,-0.1740000000000002,2,13.25,5,2.29
rhaptonsta738,,10,1.49,4.558,3,2.37,5,3.08
rhaptonsta738,,10,8.24,-2.7349999999999994,2,18.47,5,1.89
rhaptonsta738,,10,5.74,-2.0099999999999993,3,18.9,5,1.41
rhaptonsta738,,10,15.23,-4.629999999999999,3,20.43,5,4.84
rhaptonsta738,,10,1.94,0.14600000000000024,2,15.82,5,2.87
rhaptonsta738,,10,25.09,-2.875,3,2.58,5,1.63
rhaptonsta738,,10,8.62,1.6350000000000005,5,5.39,5,1.69
rhaptonsta738,,10,9.53,-4.535,3,24.48,5,2.84
rhaptonsta738,,10,2.53,0.9380000000000002,2,12.93,5,3.38
rhaptonsta738,,10,7.38,-3.564999999999999,3,22.23,5,1.09
rhaptonsta738,,10,10.22,-4.627999999999999,2,22.64,5,1.65
rhaptonsta738,,10,8.1,-3.0529999999999995,3,20.69,5,2.42
rhaptonsta738,,10,19.22,-7.761999999999999,5,27.42,5,3.65
rhaptonsta738,,10,6.96,1.8760000000000001,3,5.62,5,2.75
rhaptonsta738,,10,22.13,-4.5649999999999995,3,10.9,5,1.22
rhaptonsta738,,10,28.56,-5.98,3,10.82,5,3.67
rhaptonsta738,,10,18.8,-8.171,5,28.13,5,2.04
rhaptonsta738,,10,7.85,-3.386999999999999,2,22.66,5,4.33
trippy339,,30,24.87,1.2229999999999994,2,18.6,15,1.82
trippy339,,30,3.71,10.484,5,12.75,15,4.61
trippy339,,30,29.34,2.0869999999999997,5,13.57,15,2.3
trippy339,,30,16.09,8.31,2,4.31,15,2.65
trippy339,,30,28.38,4.018000000000001,1,5.06,15,1.75
trippy339,,30,19.72,1.58,1,21.5,15,1.23
trippy339,,30,19.05,0.6429999999999996,5,27.82,15,1.02
trippy339,,30,29.89,1.6629999999999998,1,11.76,15,2.29
trippy339,,30,17.71,5.415,4,15.1,15,4.79
trippy339,,30,24.08,3.329000000000001,1,12.61,15,3.18
trippy339,,30,13.23,7.481999999999999,1,10.43,15,4.4
trippy339,,30,16.04,4.592,5,19.1,15,3.17
trippy339,,30,22.96,5.297999999999999,5,8.52,15,1.21
trippy339,,30,6.01,12.159,4,4.04,15,4.37
trippy339,,30,11.88,7.7669999999999995,4,13.05,15,4.73
trippy339,,30,13.9,3.3190000000000004,1,22.45,15,2.62
trippy339,,30,12.77,2.3649999999999998,1,27.32,15,3.46
trippy339,,30,7.89,6.824000000000001,2,17.63,15,2.9
trippy339,,30,7.81,9.474000000000002,4,9.77,15,2.24
trippy339,,30,0.54,8.941999999999998,5,19.92,15,2.9
trippy339,,30,8.4,4.498000000000001,4,26.98,15,4.06
trippy339,,30,14.65,7.17,5,12.69,15,4.36
trippy339,,30,4.31,4.199000000000001,1,29.38,15,3.03
trippy339,,30,6.16,3.98,2,29.78,15,4.31
trippy339,,30,4.57,6.6739999999999995,4,23.31,15,3.69
trippy339,,30,13.39,10.893999999999998,5,1.73,15,4.65
trippy339,,30,17.85,0.5119999999999998,2,27.95,15,1.76
trippy339,,30,15.58,4.694,4,19.66,15,4.83
trippy339,,30,19.52,0.7940000000000007,4,28.54,15,4.56
trippy339,,30,25.51,5.7219999999999995,4,5.97,15,4.33
trippy339,,30,26.05,3.6159999999999997,2,10.81,15,3.87
trippy339,,30,5.19,9.236,4,13.25,15,2.34
trippy339,,30,1.49,13.742,5,2.37,15,2.0
trippy339,,30,8.24,7.0489999999999995,4,18.47,15,3.81
trippy339,,30,5.74,7.071999999999999,2,18.9,15,2.82
trippy339,,30,15.23,3.5640000000000005,2,20.43,15,1.81
trippy339,,30,1.94,9.655999999999999,4,15.82,15,3.42
trippy339,,30,25.09,6.433,5,2.58,15,1.17
trippy339,,30,8.62,10.263,1,5.39,15,3.83
trippy339,,30,9.53,5.272999999999999,5,24.48,15,4.88
trippy339,,30,2.53,10.602,4,12.93,15,4.7
trippy339,,30,7.38,6.025000000000001,5,22.23,15,2.04
trippy339,,30,10.22,4.936,4,22.64,15,2.47
trippy339,,30,8.1,6.435,5,20.69,15,2.86
trippy339,,30,19.22,-0.016000000000000014,1,27.42,15,1.38
trippy339,,30,6.96,11.639999999999999,5,5.62,15,4.57
trippy339,,30,22.13,5.533,5,10.9,15,4.71
trippy339,,30,28.56,3.08,5,10.82,15,1.97
trippy339,,30,18.8,0.03100000000000025,1,28.13,15,2.05
trippy339,,30,7.85,5.898999999999999,4,22.66,15,3.76
sgaucin909,,20,24.87,-1.5990000000000002,1,18.6,15,3.71
sgaucin909,,20,3.71,6.653999999999999,4,12.75,15,1.46
sgaucin909,,20,29.34,-0.9190000000000002,4,13.57,15,3.27
sgaucin909,,20,16.09,5.094000000000001,1,4.31,15,2.57
sgaucin909,,20,28.38,1.3780000000000006,2,5.06,15,2.55
sgaucin909,,20,19.72,-0.6019999999999996,2,21.5,15,4.32
sgaucin909,,20,19.05,-1.921,4,27.82,15,4.2
sgaucin909,,20,29.89,-0.9690000000000002,2,11.76,15,3.13
sgaucin909,,20,17.71,1.6829999999999998,1,15.1,15,4.13
sgaucin909,,20,24.08,0.45100000000000073,2,12.61,15,2.79
sgaucin909,,20,13.23,4.72,2,10.43,15,4.59
sgaucin909,,20,16.04,1.4619999999999997,4,19.1,15,3.52
sgaucin909,,20,22.96,2.4799999999999995,4,8.52,15,3.12
sgaucin909,,20,6.01,8.009,1,4.04,15,1.62
sgaucin909,,20,11.88,3.4249999999999994,1,13.05,15,1.02
sgaucin909,,20,13.9,0.31100000000000005,2,22.45,15,1.58
sgaucin909,,20,12.77,-0.9229999999999998,2,27.32,15,1.02
sgaucin909,,20,7.89,3.45,1,17.63,15,2.03
sgaucin909,,20,7.81,5.648000000000001,1,9.77,15,1.11
sgaucin909,,20,0.54,5.878,4,19.92,15,3.58
sgaucin909,,20,8.4,0.5020000000000002,1,26.98,15,2.08
sgaucin909,,20,14.65,3.354,4,12.69,15,1.28
sgaucin909,,20,4.31,1.4830000000000008,2,29.38,15,3.45
sgaucin909,,20,6.16,0.4,1,29.78,15,2.41
sgaucin909,,20,4.57,2.7740000000000005,1,23.31,15,2.19
sgaucin909,,20,13.39,7.707999999999999,4,1.73,15,4.72
sgaucin909,,20,17.85,-2.268,1,27.95,15,3.86
sgaucin909,,20,15.58,1.092,1,19.66,15,4.82
sgaucin909,,20,19.52,-3.035999999999999,1,28.54,15,3.41
sgaucin909,,20,25.51,2.0879999999999996,1,5.97,15,4.16
sgaucin909,,20,26.05,0.17799999999999977,1,10.81,15,2.68
sgaucin909,,20,5.19,6.0760000000000005,1,13.25,15,4.54
sgaucin909,,20,1.49,10.472,4,2.37,15,1.65
sgaucin909,,20,8.24,3.0770000000000004,1,18.47,15,1.95
sgaucin909,,20,5.74,3.6580000000000004,1,18.9,15,1.75
sgaucin909,,20,15.23,0.3540000000000001,1,20.43,15,1.76
sgaucin909,,20,1.94,5.647999999999999,1,15.82,15,1.38
sgaucin909,,20,25.09,3.3489999999999998,4,2.58,15,1.75
sgaucin909,,20,8.62,7.527,2,5.39,15,4.15
sgaucin909,,20,9.53,1.8410000000000002,4,24.48,15,3.72
sgaucin909,,20,2.53,6.904,1,12.93,15,4.21
sgaucin909,,20,7.38,3.323,4,22.23,15,4.53
sgaucin909,,20,10.22,1.4919999999999995,1,22.64,15,3.25
sgaucin909,,20,8.1,3.3129999999999993,4,20.69,15,3.25
sgaucin909,,20,19.22,-2.37,2,27.42,15,3.61
sgaucin909,,20,6.96,7.737999999999999,4,5.62,15,1.06
sgaucin909,,20,22.13,2.367,4,10.9,15,4.88
sgaucin909,,20,28.56,0.0940000000000003,4,10.82,15,3.04
sgaucin909,,20,18.8,-2.7689999999999997,2,28.13,15,2.05
sgaucin909,,20,7.85,1.875,1,22.66,15,1.64
dshepps899,,20,24.87,-0.40300000000000086,1,18.6,20,2.19
dshepps899,,20,3.71,8.228,1,12.75,20,4.83
dshepps899,,20,29.34,-0.2510000000000003,1,13.57,20,2.11
dshepps899,,20,16.09,6.94,1,4.31,20,4.3
dshepps899,,20,28.38,2.666000000000001,1,5.06,20,2.49
dshepps899,,20,19.72,0.40000000000000047,1,21.5,20,2.83
dshepps899,,20,19.05,-1.3150000000000004,1,27.82,20,2.73
dshepps899,,20,29.89,0.3269999999999999,1,11.76,20,3.11
dshepps899,,20,17.71,3.855,4,15.1,20,4.49
dshepps899,,20,24.08,2.1530000000000005,1,12.61,20,4.8
dshepps899,,20,13.23,5.869999999999999,1,10.43,20,3.84
dshepps899,,20,16.04,1.8659999999999997,1,19.1,20,1.04
dshepps899,,20,22.96,3.582,1,8.52,20,4.13
dshepps899,,20,6.01,10.115,4,4.04,20,1.65
dshepps899,,20,11.88,6.166999999999999,4,13.05,20,4.23
dshepps899,,20,13.9,1.5250000000000001,1,22.45,20,1.15
dshepps899,,20,12.77,0.9829999999999999,1,27.32,20,4.05
dshepps899,,20,7.89,5.481999999999999,1,17.63,20,4.69
dshepps899,,20,7.81,7.936,4,9.77,20,2.05
dshepps899,,20,0.54,6.286,1,19.92,20,1.12
dshepps899,,20,8.4,2.5,4,26.98,20,1.57
dshepps899,,20,14.65,4.388,1,12.69,20,1.95
dshepps899,,20,4.31,2.5390000000000006,1,29.38,20,2.23
dshepps899,,20,6.16,2.118,1,29.78,20,3.5
dshepps899,,20,4.57,4.87,4,23.31,20,2.17
dshepps899,,20,13.39,8.026,1,1.73,20,1.81
dshepps899,,20,17.85,-1.2640000000000002,1,27.95,20,1.38
dshepps899,,20,15.58,3.134,4,19.66,20,4.53
dshepps899,,20,19.52,-1.3719999999999997,4,28.54,20,1.23
dshepps899,,20,25.51,4.216,4,5.97,20,4.3
dshepps899,,20,26.05,1.8959999999999995,1,10.81,20,3.77
dshepps899,,20,5.19,8.24,4,13.25,20,4.86
dshepps899,,20,1.49,11.631999999999998,1,2.37,20,2.95
dshepps899,,20,8.24,5.063,4,18.47,20,1.38
dshepps899,,20,5.74,5.234,1,18.9,20,2.13
dshepps899,,20,15.23,2.066,1,20.43,20,2.82
dshepps899,,20,1.94,7.897999999999999,4,15.82,20,2.13
dshepps899,,20,25.09,4.735,1,2.58,20,4.18
dshepps899,,20,8.62,8.483,1,5.39,20,2.43
dshepps899,,20,9.53,2.7889999999999997,1,24.48,20,3.96
dshepps899,,20,2.53,9.05,4,12.93,20,4.44
dshepps899,,20,7.38,3.661,1,22.23,20,1.72
dshepps899,,20,10.22,3.793999999999999,4,22.64,20,4.26
dshepps899,,20,8.1,4.122999999999999,1,20.69,20,2.8
dshepps899,,20,19.22,-0.9259999999999999,1,27.42,20,4.33
dshepps899,,20,6.96,9.089999999999998,1,5.62,20,3.32
dshepps899,,20,22.13,2.9670000000000005,1,10.9,20,3.38
dshepps899,,20,28.56,1.0520000000000005,1,10.82,20,3.33
dshepps899,,20,18.8,-1.3289999999999997,1,28.13,20,2.75
dshepps899,,20,7.85,3.999,4,22.66,20,1.76
galsobrook809,,25,24.87,4.694999999999999,2,18.6,30,4.18
galsobrook809,,25,3.71,12.459999999999999,2,12.75,30,2.49
galsobrook809,,25,29.34,4.641,2,13.57,30,3.07
galsobrook809,,25,16.09,11.276,2,4.31,30,2.48
galsobrook809,,25,28.38,7.7620000000000005,4,5.06,30,2.47
galsobrook809,,25,19.72,5.878,4,21.5,30,4.72
galsobrook809,,25,19.05,3.4289999999999994,2,27.82,30,2.95
galsobrook809,,25,29.89,5.673000000000001,4,11.76,30,4.34
galsobrook809,,25,17.71,7.803,4,15.1,30,1.73
galsobrook809,,25,24.08,6.679,4,12.61,30,1.93
galsobrook809,,25,13.23,10.642,4,10.43,30,2.2
galsobrook809,,25,16.04,6.706,2,19.1,30,1.74
galsobrook809,,25,22.96,7.694000000000001,2,8.52,30,1.19
galsobrook809,,25,6.01,14.689,4,4.04,30,2.02
galsobrook809,,25,11.88,10.263,4,13.05,30,2.21
galsobrook809,,25,13.9,6.946999999999999,4,22.45,30,2.76
galsobrook809,,25,12.77,5.992999999999999,4,27.32,30,3.6
galsobrook809,,25,7.89,9.770000000000001,2,17.63,30,2.63
galsobrook809,,25,7.81,12.572,4,9.77,30,2.73
galsobrook809,,25,0.54,11.502,2,19.92,30,3.7
galsobrook809,,25,8.4,7.394,4,26.98,30,3.54
galsobrook809,,25,14.65,9.194,2,12.69,30,2.48
galsobrook809,,25,4.31,7.462999999999999,4,29.38,30,1.35
galsobrook809,,25,6.16,6.946000000000001,2,29.78,30,4.14
galsobrook809,,25,4.57,9.758,4,23.31,30,4.11
galsobrook809,,25,13.39,13.216,2,1.73,30,4.26
galsobrook809,,25,17.85,3.944,2,27.95,30,3.92
galsobrook809,,25,15.58,7.522,4,19.66,30,3.97
galsobrook809,,25,19.52,3.4480000000000004,4,28.54,30,2.83
galsobrook809,,25,25.51,8.636,4,5.97,30,3.9
galsobrook809,,25,26.05,6.589999999999999,2,10.81,30,3.74
galsobrook809,,25,5.19,12.354000000000001,4,13.25,30,2.93
galsobrook809,,25,1.49,15.968,2,2.37,30,1.13
galsobrook809,,25,8.24,10.077000000000002,4,18.47,30,3.95
galsobrook809,,25,5.74,9.956000000000001,2,18.9,30,2.24
galsobrook809,,25,15.23,6.71,2,20.43,30,2.54
galsobrook809,,25,1.94,12.338,4,15.82,30,1.83
galsobrook809,,25,25.09,9.203000000000003,2,2.58,30,3.02
galsobrook809,,25,8.62,13.607000000000001,4,5.39,30,2.55
galsobrook809,,25,9.53,7.657,2,24.48,30,4.8
galsobrook809,,25,2.53,13.193999999999999,4,12.93,30,2.66
galsobrook809,,25,7.38,8.263000000000002,2,22.23,30,1.23
galsobrook809,,25,10.22,8.11,4,22.64,30,3.34
galsobrook809,,25,8.1,8.523,2,20.69,30,1.3
galsobrook809,,25,19.22,3.578,4,27.42,30,1.35
galsobrook809,,25,6.96,13.78,2,5.62,30,3.27
galsobrook809,,25,22.13,7.699000000000002,2,10.9,30,3.54
galsobrook809,,25,28.56,5.578,2,10.82,30,2.46
galsobrook809,,25,18.8,3.7750000000000004,4,28.13,30,2.77
galsobrook809,,25,7.85,8.469000000000001,4,22.66,30,1.61
mting135,,15,24.87,-1.0570000000000008,3,18.6,20,4.42
mting135,,15,3.71,6.863999999999999,5,12.75,20,1.51
mting135,,15,29.34,-0.5869999999999997,5,13.57,20,3.93
mting135,,15,16.09,5.824000000000001,3,4.31,20,4.22
mting135,,15,28.38,1.760000000000001,5,5.06,20,1.46
mting135,,15,19.72,-0.6119999999999997,5,21.5,20,1.27
mting135,,15,19.05,-1.9569999999999999,5,27.82,20,3.02
mting135,,15,29.89,-0.37299999999999967,5,11.76,20,3.11
mting135,,15,17.71,1.521,1,15.1,20,3.32
mting135,,15,24.08,0.8810000000000008,5,12.61,20,1.94
mting135,,15,13.23,5.251999999999999,5,10.43,20,4.25
mting135,,15,16.04,1.846,5,19.1,20,4.44
mting135,,15,22.96,2.4899999999999998,5,8.52,20,2.17
mting135,,15,6.01,8.579,1,4.04,20,4.47
mting135,,15,11.88,3.488999999999999,1,13.05,20,1.34
mting135,,15,13.9,1.245,5,22.45,20,3.25
mting135,,15,12.77,0.18699999999999983,5,27.32,20,3.57
mting135,,15,7.89,3.9540000000000006,3,17.63,20,2.55
mting135,,15,7.81,6.268000000000001,1,9.77,20,4.21
mting135,,15,0.54,6.1899999999999995,5,19.92,20,4.14
mting135,,15,8.4,0.3819999999999999,1,26.98,20,1.48
mting135,,15,14.65,3.674,5,12.69,20,1.88
mting135,,15,4.31,1.8750000000000007,5,29.38,20,2.41
mting135,,15,6.16,0.5579999999999996,3,29.78,20,1.2
mting135,,15,4.57,2.766000000000001,1,23.31,20,2.15
mting135,,15,13.39,7.313999999999999,5,1.73,20,1.75
mting135,,15,17.85,-2.0220000000000002,3,27.95,20,3.09
mting135,,15,15.58,0.98,1,19.66,20,4.26
mting135,,15,19.52,-3.0259999999999994,1,28.54,20,3.46
mting135,,15,25.51,1.634,1,5.97,20,1.89
